publish_date,headline_text,is_kashmir,is_pakistan
20010729,JKLF slams Pak Kashmir policy,True,True
20010730,Indo-Pak cricket ties not feasible at present: Govt,False,True
20010730,2 Hizbul ultras killed; 9 hurt in Kashmir,True,False
20010730,J&K CM; governor summoned to Delhi,True,False
20010730,A crown on his head; Kashmir in his heart,True,False
20010731,Kashmir; an issue of diplomatic face-off: Hurriyat,True,False
20010731,PoK core issue between India and Pak: Fernandes,True,True
20010731,Farooq briefs PM on Kashmir situation,True,False
20010731,J-K autonomy: Farooq blames vested interests in NDA,True,False
20010731,Hurriyat begins awareness drive,True,False
20010731,Explosives seized near Indo-Pak border,False,True
20010731,Pak generals to decide flexibility on Kashmir,True,True
20010801,Indo-Pak sugar trade dispute erupts again,False,True
20010801,Top Hurriyat leaders detained; released in J&K,True,False
20010801,Boys herded to PoK for training rescued,True,True
20010801,Indo-Pak talks to continue at SAARC; UN: Abdullah,False,True
20010801,Infiltration bid foiled; 12 killed in J&K,True,False
20010801,No Pak proposal on 'no war pact': Omar Abdullah,False,True
20010801,15 pre-production MBTs delivered to Pak army,False,True
20010801,Pak support to militants worries US,False,True
20010802,Detained Kashmiri students to be sent to Delhi,True,False
20010802,PoK group asks UN to book Musharraf as war criminal,True,True
20010802,One killed; two ultras arrested in J&K,True,False
20010802,'London exporter aided Pak nuke weapons drive',False,True
20010803,Two Hizb militants killed in J&K blast,True,False
20010803,8 ultras; 2 women among 14 killed in J&K,True,False
20010803,No fresh invitation to Hurriyat: Pant,True,False
20010803,Pak allowing UN monitors is un-Islamic: Lashkar,False,True
20010803,Pak future bleak if democracy is not restored: Bhutto,False,True
20010803,Pakistan military general dismissed,False,True
20010804,25 Pak trained youths arrested,False,True
20010804,Group quits Hurriyat; says alliance unnatural,True,False
20010804,Bodies of 15 kidnapped Kashmir villagers found,True,False
20010804,Hurriyat for peaceful resolve to Kashmir problem,True,False
20010804,Centre to review Kashmir situation,True,False
20010804,Civilian injured in Pak firing along border,False,True
20010804,A rare match: India vs Pakistan,False,True
20010805,Sikh society to send pilgrims to Pak,False,True
20010805,RSS demands President's rule in J&K,True,False
20010805,Hurriyat invites Dalai Lama to Kashmir,True,False
20010805,Pak; APHC launches mischievous propaganda: Official,False,True
20010805,India to continue highlighting Pak-sponsored terrorism,False,True
20010805,Bid to storm Army post foiled; 15 killed in J&K,True,False
20010805,Give Kashmiris right to self-rule: Dalai,True,False
20010805,Shiv Sena demands President's rule in J&K,True,False
20010805,Curfew clamped in J&K town,True,False
20010805,Aid to Pak militants soar despite ban,False,True
20010805,Pak cracks whip on terrorists,False,True
20010805,'US continues to support Pak despite sanctions',False,True
20010806,Terrorist camps in PoK: Kotwal,True,True
20010806,India's trip to Pak on test,False,True
20010806,6 militants among 10 killed in Kashmir,True,False
20010806,BJP against strike on terrorist camps in PoK,True,True
20010806,Govt should not have talks with Pak: Cong,False,True
20010806,Spurt in militant activities in J&K,True,False
20010806,Muslim League leader detained in Kashmir,True,False
20010806,India warns Pak against continuing hostility,False,True
20010806,Pakistan press under government pressure,False,True
20010807,Check human rights violation in J&K: JKLF,True,False
20010807,India; Pak foreign secys to meet in Colombo,False,True
20010807,Pak responsible for sense of insecurity: Advani,False,True
20010807,Dalai Lama clarifies on Kashmir again,True,False
20010807,No question middle path on Kashmir: BJP,True,False
20010807,Perils of being a Pakistani,False,True
20010808,15 killed in Kashmir militant attacks,True,False
20010808,'Respond in language that Pak understands',False,True
20010808,Hurriyat condemns Jammu killings,True,False
20010808,Militants attempt 'Talibanisation' of Kashmir,True,False
20010808,4 J&K districts declared 'disturbed' areas,True,False
20010808,Panun Kashmir blames Centre for spread of militancy,True,False
20010808,Pak has no mandate to speak for Kashmiris: JKLF,True,True
20010808,Ultras bid to attack Army; BSF posts thwarted in J&K,True,False
20010808,Two militants rained bullets: J&K governor,True,False
20010808,Musharraf likens Kashmir situation to Palestine,True,False
20010808,Pak rushes official to UN to voice concerns,False,True
20010809,Panun Kashmir demands separate state,True,False
20010809,Plea to stop Hurriyat visit to Kerala,True,False
20010809,Hurriyat invites Dalai Lama to J&K,True,False
20010809,Govt prodded to hold talks with Pak: Cong,False,True
20010809,3 ultras killed in Kashmir; one surrenders,True,False
20010809,7 militants surrender in J&K,True,False
20010809,Advani suggests TADA-like law for J&K,True,False
20010809,J&K Cabinet declares 4 districts disturbed,True,False
20010809,Pak chess player gets exemption from police,False,True
20010810,Hand over J&K to Army; demands Panun Kashmir,True,False
20010810,Kashmir killings challenge to nation: Advani,True,False
20010810,India raising Kashmir killings irks Pak,True,True
20010810,'J&K killings have vitiated atmosphere',True,False
20010810,Hurriyat condemns acid attack on women,True,False
20010810,Distrust of Pak military affects peace moves,False,True
20010810,Pak police arrest youth for hoisting Indian flag,False,True
20010810,Killings not good for ties; India tells Pak,False,True
20010811,Let's get real on Kashmir,True,False
20010811,4 BSF men injured in Kashmir grenade attack,True,False
20010811,BJP minority cell stages protest against Pak,False,True
20010811,8 ultras; securityman killed in Kashmir,True,False
20010811,4 Pak-trained ultras remanded to custody,False,True
20010812,PDP denies role in inviting Hurriyat leaders,True,False
20010812,Infiltration bid foiled in J&K; 21 killed,True,False
20010812,Agra; UTI; Kashmir dominate LS last week,True,False
20010812,Pak tells US to talk to Taliban directly,False,True
20010812,China condemns Jerusalem blast; mum on Kashmir,True,False
20010812,'Sectarian violence on the rise in Pakistan',False,True
20010813,Agra; UTI fiascos and J&K top the agenda,True,False
20010813,CPM; BJP slam Hurriyat visit plan,True,False
20010813,CPM blasts Hurriyat; wants autonomy for J&K,True,False
20010813,WTO round brings India; Pak together,False,True
20010813,KMM asks Kashmiris to celebrate Pak I-Day,True,True
20010813,India to press Pak on cross-border terrorism,False,True
20010813,Shabir Shah urges India; Pak to end hostilities,False,True
20010813,7 killed; 10 kg RDX seized in Kashmir,True,False
20010813,Security beefed up in J&K ahead of I-Day,True,False
20010813,MoD denies Pak report on Kargil clash,False,True
20010813,Hurriyat appeals against rights violations,True,False
20010813,Sino-Pak border agreement is final: China,False,True
20010814,J&K minister's house attacked,True,False
20010814,KMM leader held; Pak flag hoisted,False,True
20010814,Pakistan denies India's charge,False,True
20010814,Pak seeks to strengthen ties with Moscow,False,True
20010814,Bush sanctions military spares for Pak forces in S Leone,False,True
20010814,Pak willing to maintain 'friendly' ties with India,False,True
20010814,C'Wealth; Pak Oppn shrug at Musharraf announcement,False,True
20010814,Pak warns US against bias in lifting sanctions,False,True
20010815,No sweets for India on Pak I-Day,False,True
20010815,'Centre incapable of solving Kashmir issue',True,False
20010815,Three new faces inducted into J-K cabinet,True,False
20010815,J&K's development lies in India's strength: Farooq,True,False
20010815,BSF officer among two injured in Pak firing,False,True
20010815,Centre to hold dialogue with J&K govt shortly,True,False
20010816,Centre ready to negotiate on J&K autonomy,True,False
20010816,'Govt should probe overseas funding of Hurriyat',True,False
20010816,MBT Arjun superior to Pak Al Khalid tank,False,True
20010816,Israeli teams training forces in Kashmir: Jane's,True,False
20010817,HC quashes arrest of Pakistani,False,True
20010817,Lanka; Pak 'A' teams to play in India in Nov,False,True
20010817,RSS opposes any further autonomy to Kashmir,True,False
20010817,Solve Kashmir issue; we'll drop the gun: Hizb,True,False
20010817,J&K situation militarily stable; says Army chief,True,False
20010817,'Greater autonomy to J-K only solution',True,False
20010817,28 kg of RDX seized in J&K,True,False
20010817,Kashmir Solution,True,False
20010817,Religious freedom curtailed in India; Pak: US panel,False,True
20010818,'Security forces have upper hand in J&K',True,False
20010818,Pak resorts to heavy shelling along LoC,True,True
20010818,India should say no to talks with Pak: VHP,False,True
20010818,Kashmir Solution,True,False
20010819,Kashmiri Pandits demand security in Jammu,True,False
20010819,Nine Pak soldiers killed in Rajouri,False,True
20010819,15 militants; 3 jawans killed in J&K,True,False
20010819,Ripples surface within the Hurriyat again,True,False
20010819,Heavy shelling along LoC,True,False
20010820,Pak claim refuted,False,True
20010820,Pak protests appointment of Reid as ATC referee,False,True
20010820,Centre for special powers but no autonomy to J&K,True,False
20010820,India denies Pak charge of border firing,False,True
20010820,Pak to fight India in every event in SAF games,False,True
20010820,US to ease sanctions against Pakistan too,False,True
20010820,Pak caught selling nuke technology,False,True
20010821,'Pak pushing in more Kashmiri ultras',True,True
20010821,Protests in Kerala against Hurriyat leaders' visit,True,False
20010821,15 killed in J&K; infiltration bid foiled,True,False
20010821,US for Indo-Pak dialogue on Kashmir,True,True
20010822,Pak wants ICC Mini World Cup out of India,False,True
20010822,J&K Cong calls for bandh against Advani's amnesty plan,True,False
20010822,Hurriyat executive panel meets today,True,False
20010822,Pak steps up firing along LoC,True,True
20010822,3 killed in J&K; 2 jawans hurt in blast,True,False
20010822,Basmati is ours; say India; Pak,False,True
20010822,Pak assails India's relief plan for soldiers,False,True
20010822,Bomb explosion rocks PoK capital; 8 injured,True,True
20010822,Over 250 militants arrested in Pak crackdown,False,True
20010823,Amnesty will boost morale of security forces in J&K,True,False
20010823,Youngsters debate over Indo-Pak relations,False,True
20010823,Indo-Pak fellowships get a quiet burial,False,True
20010823,Pak national sentenced under TADA in Jammu,False,True
20010823,Army officer killed in Pak shelling,False,True
